epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,502.967,0.60514,0.6939,0.95602,0.95758,0.84874,0.9305,0.78387,0.60392,0.75329,0.95345,0.0011684,0.0011684,0.0011684
23,525.251,0.60431,0.69688,0.95838,0.91389,0.88722,0.9279,0.7648,0.63351,0.76033,0.94905,0.0011288,0.0011288,0.0011288
24,576.685,0.56296,0.65813,0.9314,0.94337,0.87683,0.93271,0.76574,0.63984,0.76705,0.95062,0.0010892,0.0010892,0.0010892
25,611.945,0.59196,0.70522,0.95661,0.91682,0.91167,0.9367,0.7703,0.63367,0.77107,0.94657,0.0010496,0.0010496,0.0010496
26,634.44,0.56521,0.5961,0.92414,0.89091,0.85714,0.89926,0.74842,0.60431,0.85808,0.92194,0.00101,0.00101,0.00101
27,656.631,0.5489,0.61785,0.92884,0.8949,0.83231,0.88169,0.73884,0.61829,0.82953,0.95688,0.0009704,0.0009704,0.0009704
28,679.145,0.54597,0.59863,0.92923,0.89696,0.91729,0.94247,0.77999,0.58509,0.71413,0.94789,0.0009308,0.0009308,0.0009308
29,701.378,0.53442,0.58773,0.90148,0.92514,0.90226,0.94865,0.80099,0.57566,0.67108,0.94957,0.0008912,0.0008912,0.0008912
30,724.298,0.52751,0.56209,0.89697,0.946,0.92202,0.9677,0.83536,0.53381,0.61639,0.92518,0.0008516,0.0008516,0.0008516
31,746.6,0.52425,0.55494,0.91636,0.91308,0.95489,0.96999,0.8431,0.5252,0.5953,0.93019,0.000812,0.000812,0.000812
32,769.089,0.53541,0.54909,0.91754,0.94675,0.93575,0.96912,0.84476,0.5189,0.5758,0.93029,0.0007724,0.0007724,0.0007724
33,791.019,0.53755,0.55356,0.92124,0.96092,0.92433,0.96865,0.84777,0.49449,0.56469,0.91245,0.0007328,0.0007328,0.0007328
34,813.86,0.50899,0.53081,0.90145,0.92437,0.94737,0.96305,0.84632,0.49736,0.55173,0.91371,0.0006932,0.0006932,0.0006932
35,836.124,0.51555,0.55434,0.91641,0.93809,0.92481,0.95657,0.83882,0.50119,0.55896,0.90977,0.0006536,0.0006536,0.0006536
36,858.344,0.46494,0.50103,0.89217,0.90482,0.94737,0.94366,0.83114,0.49335,0.55229,0.90418,0.000614,0.000614,0.000614
37,881.241,0.46302,0.4942,0.89991,0.92464,0.92251,0.94199,0.82989,0.49127,0.5509,0.90382,0.0005744,0.0005744,0.0005744
38,903.532,0.51995,0.5371,0.93026,0.90575,0.94737,0.95062,0.83823,0.50317,0.53683,0.91264,0.0005348,0.0005348,0.0005348
39,925.82,0.51486,0.54071,0.90901,0.92612,0.9426,0.95537,0.84393,0.4836,0.53195,0.90304,0.0004952,0.0004952,0.0004952
40,948.465,0.49859,0.50387,0.90158,0.91948,0.94446,0.96333,0.86526,0.4795,0.52214,0.89879,0.0004556,0.0004556,0.0004556
41,970.664,0.44576,0.54896,0.87221,0.93167,0.92273,0.9568,0.85509,0.48868,0.51735,0.90643,0.000416,0.000416,0.000416
42,992.388,0.42876,0.53117,0.8802,0.91834,0.93006,0.94152,0.84747,0.50236,0.52796,0.9195,0.0003764,0.0003764,0.0003764
43,1014.39,0.41378,0.49321,0.85896,0.92583,0.93848,0.95119,0.84411,0.50082,0.53849,0.92382,0.0003368,0.0003368,0.0003368
44,1036.94,0.4253,0.50393,0.87212,0.95131,0.91729,0.95342,0.85763,0.47542,0.52944,0.90605,0.0002972,0.0002972,0.0002972
45,1058.59,0.41277,0.47494,0.85785,0.95861,0.93985,0.97324,0.86963,0.47484,0.52,0.90548,0.0002576,0.0002576,0.0002576
46,1080.31,0.4012,0.47236,0.85636,0.94068,0.95386,0.97425,0.87232,0.47593,0.49486,0.90381,0.000218,0.000218,0.000218
47,1102.53,0.40273,0.46515,0.85286,0.94068,0.95391,0.97977,0.87337,0.46865,0.48758,0.90114,0.0001784,0.0001784,0.0001784
48,1124.52,0.38556,0.46265,0.86199,0.96004,0.93985,0.97114,0.87567,0.45228,0.47563,0.89571,0.0001388,0.0001388,0.0001388
49,1146.12,0.39011,0.45392,0.84175,0.96064,0.93985,0.97025,0.88093,0.44586,0.46657,0.89248,9.92e-05,9.92e-05,9.92e-05
50,1167.96,0.38037,0.45725,0.86734,0.95969,0.93985,0.9686,0.87869,0.43785,0.4527,0.89001,5.96e-05,5.96e-05,5.96e-05
