epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4986,1.27768,3.19352,1.31987,0.01573,0.88722,0.26122,0.17943,0.6082,2.84411,0.98722,0.0001,0.0001,0.0001
2,49.9992,0.88354,2.291,1.12416,0.82689,0.3951,0.52808,0.42992,0.68028,2.51333,0.95141,0.000215644,0.000215644,0.000215644
3,72.7998,0.82231,1.23986,1.05232,0.98047,0.37741,0.74395,0.62068,0.65176,2.21861,0.95485,0.000326536,0.000326536,0.000326536
4,95.418,0.74254,0.98672,0.99081,0.91254,0.47073,0.7808,0.65515,0.65472,2.08614,0.96275,0.000432676,0.000432676,0.000432676
5,117.91,0.65711,0.96281,0.96502,0.92045,0.43503,0.76105,0.62559,0.68155,2.0271,0.9725,0.000534064,0.000534064,0.000534064
6,140.253,0.74137,0.96044,0.98948,0.9552,0.60902,0.83294,0.68908,0.66813,1.70599,0.93206,0.0006307,0.0006307,0.0006307
7,162.168,0.71191,0.88002,0.99693,0.95462,0.79079,0.92446,0.77792,0.63647,1.39909,0.91853,0.000722584,0.000722584,0.000722584
8,184.67,0.65992,0.842,0.94892,0.8988,0.81955,0.8801,0.73844,0.69821,1.40876,0.95848,0.000809716,0.000809716,0.000809716
9,208.037,0.71079,0.83422,0.97387,0.94981,0.78195,0.87129,0.72295,0.68762,1.02614,0.97839,0.000892096,0.000892096,0.000892096
10,230.398,0.66076,0.85847,0.98067,0.92328,0.78195,0.87799,0.6956,0.74879,1.05093,1.01211,0.000969724,0.000969724,0.000969724
11,252.796,0.68015,0.85509,0.98355,0.95504,0.7985,0.87149,0.70562,0.73663,1.16223,0.98508,0.0010426,0.0010426,0.0010426
12,276.278,0.74354,0.85622,0.99327,0.92964,0.82707,0.89769,0.74232,0.68506,1.08563,0.95889,0.00111072,0.00111072,0.00111072
13,298.775,0.68852,0.81289,0.98517,0.80594,0.81188,0.85455,0.69631,0.63697,1.02774,0.94343,0.0011741,0.0011741,0.0011741
14,321.508,0.66468,0.79076,0.96803,0.86648,0.83459,0.88874,0.72295,0.74566,0.99637,1.00099,0.00123272,0.00123272,0.00123272
15,343.583,0.64961,0.74479,0.94146,0.8559,0.80451,0.86848,0.70482,0.74157,1.10464,1.01425,0.00128658,0.00128658,0.00128658
16,366.466,0.65209,0.71416,0.92668,0.81085,0.4835,0.62369,0.44991,0.92877,1.68327,1.13153,0.0013357,0.0013357,0.0013357
17,389.446,0.68231,0.74789,0.94762,0.61608,0.45865,0.5392,0.39474,0.93966,1.71767,1.16046,0.0013664,0.0013664,0.0013664
18,412.148,0.61613,0.69531,0.93624,0.89027,0.71429,0.8074,0.64741,0.74963,1.14183,1.01765,0.0013268,0.0013268,0.0013268
19,434.598,0.64384,0.71942,0.96317,0.88097,0.8347,0.90341,0.76012,0.68793,0.86972,0.9964,0.0012872,0.0012872,0.0012872
20,457.312,0.61803,0.69645,0.95372,0.96476,0.82348,0.91794,0.74734,0.703,0.84645,0.97967,0.0012476,0.0012476,0.0012476
21,480.128,0.66974,0.69567,0.95835,0.93483,0.84211,0.92341,0.73753,0.70883,0.81167,0.98454,0.001208,0.001208,0.001208
