epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8426,1.15631,3.17938,1.23469,0.00886,0.8797,0.21433,0.14267,0.58872,3.11768,0.95711,0.00012,0.00012,0.00012
2,46.5549,0.79631,2.00811,1.04564,0.82764,0.32497,0.49067,0.38203,0.6553,2.38192,0.90651,0.000254852,0.000254852,0.000254852
3,67.6287,0.71869,1.16833,1.00401,0.83712,0.46374,0.69607,0.57638,0.60846,2.25122,0.88879,0.00038416,0.00038416,0.00038416
4,88.4378,0.71731,1.13402,0.98901,1,0.34856,0.75985,0.6569,0.57246,2.33015,0.89558,0.000507924,0.000507924,0.000507924
5,109.188,0.65293,0.95396,0.96021,1,0.60635,0.86182,0.71009,0.62376,2.18342,0.91719,0.000626144,0.000626144,0.000626144
6,130.053,0.70295,0.95249,0.98827,0.83636,0.57895,0.7234,0.59901,0.61018,2.12373,0.92098,0.00073882,0.00073882,0.00073882
7,150.829,0.71398,0.91151,1.00372,0.87467,0.73467,0.79868,0.64005,0.66621,1.90149,0.9757,0.000845952,0.000845952,0.000845952
8,171.572,0.7235,0.91641,1.01686,0.93091,0.81043,0.87553,0.72073,0.59116,1.72913,0.93635,0.00094754,0.00094754,0.00094754
9,192.195,0.68774,0.88542,0.98336,0.97845,0.83459,0.92006,0.76483,0.58257,1.64577,0.93859,0.00104358,0.00104358,0.00104358
10,212.603,0.64815,0.82913,0.9823,0.96295,0.78195,0.8966,0.74267,0.60807,1.68854,0.94379,0.00113408,0.00113408,0.00113408
11,233.018,0.61296,0.75948,0.94423,0.90001,0.81213,0.92736,0.74678,0.58288,1.63543,0.92546,0.00121904,0.00121904,0.00121904
12,253.293,0.70028,0.81651,0.99512,0.82074,0.82621,0.85075,0.65808,0.67954,1.63753,0.97416,0.00129845,0.00129845,0.00129845
13,273.263,0.61814,0.74811,0.95601,0.81618,0.78195,0.83346,0.62213,0.69053,1.6846,1.03147,0.00137232,0.00137232,0.00137232
