epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,293.454,0.67264,0.84375,1.00909,0.95108,0.75188,0.83526,0.66485,0.62429,1.58987,0.9786,0.00144064,0.00144064,0.00144064
15,313.88,0.69821,0.79602,1.00147,0.92748,0.76931,0.85446,0.68285,0.63422,1.38771,0.98555,0.0014456,0.0014456,0.0014456
16,334.056,0.64757,0.77544,0.96633,0.93021,0.8017,0.8629,0.70647,0.5828,1.29349,0.9441,0.001406,0.001406,0.001406
17,354.473,0.63269,0.6984,0.9475,0.95189,0.82707,0.86357,0.7239,0.57437,1.30369,0.9361,0.0013664,0.0013664,0.0013664
18,375.158,0.62811,0.70046,0.95161,0.9222,0.80207,0.87535,0.74073,0.58785,1.50425,0.93956,0.0013268,0.0013268,0.0013268
19,395.438,0.6475,0.69852,0.94436,0.94887,0.83713,0.9009,0.76004,0.55909,1.22061,0.93497,0.0012872,0.0012872,0.0012872
20,415.727,0.59824,0.70176,0.95171,0.9482,0.84962,0.89099,0.76928,0.55568,1.16713,0.93332,0.0012476,0.0012476,0.0012476
21,435.953,0.58997,0.66038,0.9428,0.93976,0.82114,0.88976,0.76436,0.53229,1.11096,0.9244,0.001208,0.001208,0.001208
22,456.558,0.63843,0.74296,0.97602,0.94601,0.84962,0.92828,0.80025,0.52629,0.88143,0.92367,0.0011684,0.0011684,0.0011684
23,477.74,0.61205,0.69579,0.97976,0.94326,0.89474,0.93794,0.80951,0.46925,0.79233,0.91118,0.0011288,0.0011288,0.0011288
24,498.38,0.56086,0.631,0.93292,0.98316,0.87789,0.95091,0.80265,0.4885,0.74199,0.91732,0.0010892,0.0010892,0.0010892
25,520.336,0.57539,0.65731,0.96493,0.97499,0.87933,0.94787,0.82696,0.4631,0.68974,0.90434,0.0010496,0.0010496,0.0010496
26,543.3,0.59506,0.64185,0.93766,0.99034,0.86466,0.94115,0.82305,0.44876,0.691,0.90155,0.00101,0.00101,0.00101
27,564.727,0.55878,0.64154,0.95636,0.96115,0.8797,0.95218,0.83277,0.44887,0.7381,0.90526,0.0009704,0.0009704,0.0009704
28,584.86,0.55066,0.58363,0.90274,0.95801,0.88722,0.96597,0.83719,0.47223,0.70539,0.91119,0.0009308,0.0009308,0.0009308
29,604.728,0.56673,0.64414,0.95344,0.94288,0.90977,0.96831,0.83845,0.45552,0.65812,0.90621,0.0008912,0.0008912,0.0008912
30,624.648,0.55618,0.65052,0.95479,0.93931,0.93097,0.96638,0.85079,0.45349,0.61607,0.90443,0.0008516,0.0008516,0.0008516
31,644.498,0.53186,0.59273,0.9093,0.91949,0.94453,0.96477,0.84336,0.45113,0.63545,0.90132,0.000812,0.000812,0.000812
32,664.61,0.52994,0.5775,0.91928,0.92571,0.93692,0.9608,0.83865,0.4695,0.62327,0.90134,0.0007724,0.0007724,0.0007724
33,684.478,0.54527,0.57054,0.92213,0.94166,0.92481,0.96653,0.85048,0.43042,0.58811,0.88962,0.0007328,0.0007328,0.0007328
34,704.473,0.54518,0.59465,0.93946,0.93882,0.923,0.94983,0.83874,0.44264,0.58444,0.89485,0.0006932,0.0006932,0.0006932
35,724.486,0.52119,0.55537,0.91848,0.94569,0.91645,0.95439,0.82739,0.4673,0.60538,0.91145,0.0006536,0.0006536,0.0006536
36,744.544,0.55633,0.59944,0.92826,0.95314,0.90977,0.95394,0.85014,0.40806,0.56846,0.89442,0.000614,0.000614,0.000614
37,764.711,0.50769,0.5303,0.91606,0.94579,0.91824,0.95734,0.84818,0.41534,0.5546,0.89383,0.0005744,0.0005744,0.0005744
38,784.821,0.49009,0.52802,0.89806,0.94587,0.91972,0.95924,0.8524,0.43177,0.52121,0.89854,0.0005348,0.0005348,0.0005348
39,805.192,0.46308,0.50352,0.89237,0.94646,0.93035,0.96128,0.8625,0.39942,0.50396,0.89109,0.0004952,0.0004952,0.0004952
40,825.939,0.5134,0.53725,0.93262,0.95143,0.91729,0.96006,0.86077,0.39153,0.49816,0.89203,0.0004556,0.0004556,0.0004556
41,846.461,0.43127,0.56498,0.87206,0.96819,0.91551,0.96724,0.85534,0.40208,0.5031,0.89729,0.000416,0.000416,0.000416
42,866.599,0.43208,0.52113,0.87065,0.9643,0.91729,0.96037,0.85058,0.39895,0.55479,0.89669,0.0003764,0.0003764,0.0003764
43,886.231,0.43713,0.54558,0.89173,0.97254,0.89474,0.96119,0.85655,0.41359,0.58906,0.8997,0.0003368,0.0003368,0.0003368
44,905.693,0.4154,0.51065,0.86823,0.97328,0.88722,0.96316,0.86208,0.40186,0.53293,0.89345,0.0002972,0.0002972,0.0002972
45,925.532,0.42532,0.49458,0.86024,0.9751,0.88326,0.96912,0.84979,0.40469,0.52311,0.89641,0.0002576,0.0002576,0.0002576
46,945.595,0.41115,0.48245,0.85457,0.95276,0.91729,0.96438,0.85562,0.40549,0.50941,0.89933,0.000218,0.000218,0.000218
47,965.379,0.4103,0.47192,0.87042,0.94682,0.93233,0.96731,0.8549,0.40823,0.50252,0.89811,0.0001784,0.0001784,0.0001784
48,985.434,0.42404,0.473,0.85897,0.95994,0.93233,0.96664,0.86337,0.40718,0.5002,0.90062,0.0001388,0.0001388,0.0001388
49,1005.11,0.40831,0.46296,0.86784,0.94652,0.94737,0.96697,0.86388,0.40122,0.49351,0.90025,9.92e-05,9.92e-05,9.92e-05
50,1025.04,0.3934,0.46518,0.86326,0.96162,0.94201,0.96719,0.86318,0.39354,0.48434,0.89802,5.96e-05,5.96e-05,5.96e-05
